"year","scenario","phase","precipitation_value"
1979,"baseline","baseline",114.183200604202
1979,"2y","normal",114.183200604202
1979,"4y","normal",114.183200604202
1979,"6y","normal",114.183200604202
1979,"8y","normal",114.183200604202
1980,"baseline","baseline",148.945693524729
1980,"2y","drought",104.26198546731
1980,"4y","drought",104.26198546731
1980,"6y","drought",104.26198546731
1980,"8y","drought",104.26198546731
1981,"baseline","baseline",126.865711134178
1981,"2y","normal",126.865711134178
1981,"4y","normal",126.865711134178
1981,"6y","normal",126.865711134178
1981,"8y","normal",126.865711134178
1982,"baseline","baseline",137.33473079792
1982,"2y","drought",96.1343115585441
1982,"4y","normal",137.33473079792
1982,"6y","normal",137.33473079792
1982,"8y","normal",137.33473079792
1983,"baseline","baseline",147.053892549502
1983,"2y","normal",147.053892549502
1983,"4y","normal",147.053892549502
1983,"6y","normal",147.053892549502
1983,"8y","normal",147.053892549502
1984,"baseline","baseline",100.641730678967
1984,"2y","drought",70.449211475277
1984,"4y","drought",70.449211475277
1984,"6y","normal",100.641730678967
1984,"8y","normal",100.641730678967
1985,"baseline","baseline",144.748247347343
1985,"2y","normal",144.748247347343
1985,"4y","normal",144.748247347343
1985,"6y","normal",144.748247347343
1985,"8y","normal",144.748247347343
1986,"baseline","baseline",168.995484157495
1986,"2y","drought",118.296838910246
1986,"4y","normal",168.995484157495
1986,"6y","drought",118.296838910246
1986,"8y","normal",168.995484157495
1987,"baseline","baseline",223.002292385718
1987,"2y","normal",223.002292385718
1987,"4y","normal",223.002292385718
1987,"6y","normal",223.002292385718
1987,"8y","normal",223.002292385718
1988,"baseline","baseline",173.575980990063
1988,"2y","drought",121.503186693044
1988,"4y","drought",121.503186693044
1988,"6y","normal",173.575980990063
1988,"8y","drought",121.503186693044
1989,"baseline","baseline",122.273731590303
1989,"2y","normal",122.273731590303
1989,"4y","normal",122.273731590303
1989,"6y","normal",122.273731590303
1989,"8y","normal",122.273731590303
1990,"baseline","baseline",128.876985694478
1990,"2y","drought",90.2138899861347
1990,"4y","normal",128.876985694478
1990,"6y","normal",128.876985694478
1990,"8y","normal",128.876985694478
1991,"baseline","baseline",176.084091920347
1991,"2y","normal",176.084091920347
1991,"4y","normal",176.084091920347
1991,"6y","normal",176.084091920347
1991,"8y","normal",176.084091920347
1992,"baseline","baseline",174.630636072561
1992,"2y","drought",122.241445250793
1992,"4y","drought",122.241445250793
1992,"6y","drought",122.241445250793
1992,"8y","normal",174.630636072561
1993,"baseline","baseline",128.589568039388
1993,"2y","normal",128.589568039388
1993,"4y","normal",128.589568039388
1993,"6y","normal",128.589568039388
1993,"8y","normal",128.589568039388
1994,"baseline","baseline",151.860405922798
1994,"2y","drought",106.302284145959
1994,"4y","normal",151.860405922798
1994,"6y","normal",151.860405922798
1994,"8y","normal",151.860405922798
1995,"baseline","baseline",189.876907554935
1995,"2y","normal",189.876907554935
1995,"4y","normal",189.876907554935
1995,"6y","normal",189.876907554935
1995,"8y","normal",189.876907554935
1996,"baseline","baseline",135.659066179505
1996,"2y","drought",94.9613463256537
1996,"4y","drought",94.9613463256537
1996,"6y","normal",135.659066179505
1996,"8y","drought",94.9613463256537
1997,"baseline","baseline",146.292389320388
1997,"2y","normal",146.292389320388
1997,"4y","normal",146.292389320388
1997,"6y","normal",146.292389320388
1997,"8y","normal",146.292389320388
1998,"baseline","baseline",186.611598797754
1998,"2y","drought",130.628119158428
1998,"4y","normal",186.611598797754
1998,"6y","drought",130.628119158428
1998,"8y","normal",186.611598797754
1999,"baseline","baseline",215.000130887165
1999,"2y","normal",215.000130887165
1999,"4y","normal",215.000130887165
1999,"6y","normal",215.000130887165
1999,"8y","normal",215.000130887165
2000,"baseline","baseline",162.084309731836
2000,"2y","drought",113.459016812285
2000,"4y","drought",113.459016812285
2000,"6y","normal",162.084309731836
2000,"8y","normal",162.084309731836
2001,"baseline","baseline",179.037929249807
2001,"2y","normal",179.037929249807
2001,"4y","normal",179.037929249807
2001,"6y","normal",179.037929249807
2001,"8y","normal",179.037929249807
2002,"baseline","baseline",178.006661342079
2002,"2y","drought",124.604662939455
2002,"4y","normal",178.006661342079
2002,"6y","normal",178.006661342079
2002,"8y","normal",178.006661342079
2003,"baseline","baseline",161.392361655271
2003,"2y","normal",161.392361655271
2003,"4y","normal",161.392361655271
2003,"6y","normal",161.392361655271
2003,"8y","normal",161.392361655271
2004,"baseline","baseline",173.598745028448
2004,"2y","drought",121.519121519914
2004,"4y","drought",121.519121519914
2004,"6y","drought",121.519121519914
2004,"8y","drought",121.519121519914
2005,"baseline","baseline",224.974078227751
2005,"2y","normal",224.974078227751
2005,"4y","normal",224.974078227751
2005,"6y","normal",224.974078227751
2005,"8y","normal",224.974078227751
2006,"baseline","baseline",233.249473740943
2006,"2y","drought",163.27463161866
2006,"4y","normal",233.249473740943
2006,"6y","normal",233.249473740943
2006,"8y","normal",233.249473740943
2007,"baseline","baseline",222.610525014534
2007,"2y","normal",222.610525014534
2007,"4y","normal",222.610525014534
2007,"6y","normal",222.610525014534
2007,"8y","normal",222.610525014534
2008,"baseline","baseline",208.847270571277
2008,"2y","drought",146.193089399894
2008,"4y","drought",146.193089399894
2008,"6y","normal",208.847270571277
2008,"8y","normal",208.847270571277
2009,"baseline","baseline",168.052391552192
2009,"2y","normal",168.052391552192
2009,"4y","normal",168.052391552192
2009,"6y","normal",168.052391552192
2009,"8y","normal",168.052391552192
2010,"baseline","baseline",149.733429812295
2010,"2y","drought",104.813400868607
2010,"4y","normal",149.733429812295
2010,"6y","drought",104.813400868607
2010,"8y","normal",149.733429812295
2011,"baseline","baseline",215.682335719976
2011,"2y","normal",215.682335719976
2011,"4y","normal",215.682335719976
2011,"6y","normal",215.682335719976
2011,"8y","normal",215.682335719976
2012,"baseline","baseline",231.411220561495
2012,"2y","drought",161.987854393046
2012,"4y","drought",161.987854393046
2012,"6y","normal",231.411220561495
2012,"8y","drought",161.987854393046
2013,"baseline","baseline",233.260944642279
2013,"2y","normal",233.260944642279
2013,"4y","normal",233.260944642279
2013,"6y","normal",233.260944642279
2013,"8y","normal",233.260944642279
2014,"baseline","baseline",152.663248203135
2014,"2y","drought",106.864273742194
2014,"4y","normal",152.663248203135
2014,"6y","normal",152.663248203135
2014,"8y","normal",152.663248203135
2015,"baseline","baseline",184.490920701137
2015,"2y","normal",184.490920701137
2015,"4y","normal",184.490920701137
2015,"6y","normal",184.490920701137
2015,"8y","normal",184.490920701137
2016,"baseline","baseline",210.412924391858
2016,"2y","drought",147.2890470743
2016,"4y","drought",147.2890470743
2016,"6y","drought",147.2890470743
2016,"8y","normal",210.412924391858
