"normalization","scenario","variable","bp1_run_time","bp2_run_time","bp1_run_year","bp2_run_year","mag1","mag2","mag3","mag4","mag5","mag6","slope1","slope2","slope3"
"raw_data","regclim","npp",19.4166666666667,NA,19,NA,1.85497865531516,1.89639712806914,0.0414184727539746,NA,NA,NA,0.0056389645587654,-0.000726270596926219,NA
"raw_data","regclim","ctotal",13.9166666666667,23.6666666666667,13,23,58.7689788731652,57.0797330846979,60.7131005504292,60.9592059705676,1.94412167726396,3.87947288586972,0.139510907507989,-0.375865599903235,0.0843628075319624
"raw_data","regclim","evapm",19.3333333333333,NA,19,NA,1.70090496337816,1.64543950646603,-0.0554654569121329,NA,NA,NA,-9.16048838026095e-05,0.00713286061172012,NA
"raw_data","y8","npp",18.8333333333333,28.3333333333333,18,28,1.7765097777889,1.41446560219466,1.91454761500737,1.7115467692361,0.138037837218472,0.297081167041437,0.00166185546094215,-0.0531060544579866,-0.109047648251007
"raw_data","y8","ctotal",27,NA,27,NA,61.3784394840306,66.139054789648,4.76061530561743,NA,NA,NA,0.152795343300058,-1.36165603069262,NA
"raw_data","y8","evapm",28.4166666666667,NA,28,NA,1.62155733306307,1.65299348299318,0.0314361499301083,NA,NA,NA,-0.00370563261019408,-0.0324822843581655,NA
"raw_data","y6","npp",23.5,NA,23,NA,1.61986904087895,1.13151037597308,-0.488358664905875,NA,NA,NA,-0.00743557431379683,-0.0300775256225582,NA
"raw_data","y6","ctotal",18.5833333333333,28.0833333333333,18,28,59.9777485594544,54.9639021610681,64.5151583238831,59.8603793842383,4.5374097644287,4.89647722317019,0.162563252840549,-1.01429268985645,-1.76356872044077
"raw_data","y6","evapm",23.5,NA,23,NA,1.62476714849754,1.5103931024561,-0.114374046041439,NA,NA,NA,-0.00443179286494904,-0.0173758421254041,NA
"raw_data","y4","npp",12.8333333333333,27,12,27,1.73186641564553,0.618506965525055,1.35614456287367,0.760432262033545,-0.375721852771866,0.14192529650849,-0.000716050693228058,-0.0523766341312624,0.01650331511635
"raw_data","y4","ctotal",13.9166666666667,27.25,13,27,59.6703437523907,42.7218470852732,63.1187284460412,48.3210805186338,3.44838469365046,5.59923343336059,0.192468069109173,-1.53938727251079,-0.0445303587243197
"raw_data","y4","evapm",13.0833333333333,28.4166666666667,13,28,1.67551558721442,1.29935298530209,1.57962142122158,1.19354195943286,-0.0958941659928407,-0.105811025869223,-0.00305949643231333,-0.0183782580930815,-0.073427052623024
"raw_data","y2","npp",8.75,20.0833333333333,8,20,1.66446772981259,0.336784351236565,1.095898586248,1.14540150619838,-0.568569143564586,0.808617154961818,-0.00858270329633255,-0.0674768208899057,-0.124139778418304
"raw_data","y2","ctotal",11.5,20.5,11,20,58.8044511031748,29.7513629762264,45.393111180157,55.7178936528812,-13.4113399230178,25.9665306766548,0.0756971528631166,-1.75421475184269,-5.10941918889112
"raw_data","y2","evapm",8.83333333333333,19.1666666666667,8,19,1.63968575168786,0.983868674162752,1.58191486127808,0.553266700943172,-0.0577708904097838,-0.43060197321958,-0.0114541776377341,-0.0583459694746663,-0.0436770870892505
