"normalization","scenario","variable","bp1_run_time","bp2_run_time","bp3_run_time","bp1_run_year","bp2_run_year","bp3_run_year","mag1","mag2","mag3","mag4","mag5","mag6","mag7","mag8","mag9","slope1","slope2","slope3","slope4"
"global_wise","regclim","npp",30.0833333333333,NA,NA,30,NA,NA,0.905514004606937,0.865813688549861,-0.0397003160570754,NA,NA,NA,NA,NA,NA,0.00284763234039699,0.00433919985557094,NA,NA
"global_wise","regclim","ctotal",13.5,21.0833333333333,28.75,13,21,28,0.745889616240303,0.725444741511388,0.803486087141262,0.7782295407798,0.728500979237295,0.781331419880262,0.0323399245394964,0.00305623772590713,-0.0221546672610001,0.00172768609481792,-0.00703797323578816,0.0098881460972264,0.000628209747241447
"global_wise","regclim","evapm",19.3333333333333,NA,NA,19,NA,NA,0.841633173838488,0.81418803754666,-0.027445136291828,NA,NA,NA,NA,NA,NA,-4.53274643521331e-05,0.00352944593874693,NA,NA
"global_wise","y8","npp",19.9166666666667,28.0833333333333,NA,19,28,NA,0.831387032431524,0.632835187577261,0.924500792447094,0.813951360089841,0.09311376001557,0.18111617251258,NA,NA,NA,0.000442581228001431,-0.0360823428704945,-0.0507349817933094,NA
"global_wise","y8","ctotal",27,NA,NA,27,NA,NA,0.780213694100297,0.840728384356516,0.0605146902562189,NA,NA,NA,NA,NA,NA,0.00194226214025004,-0.0173087274738721,NA,NA
"global_wise","y8","evapm",30.25,NA,NA,30,NA,NA,0.800468935243163,0.786741319182621,-0.0137276160605422,NA,NA,NA,NA,NA,NA,-0.00176156316868342,-0.0158010261364914,NA,NA
"global_wise","y6","npp",20.25,27.8333333333333,NA,20,27,NA,0.785883354253634,0.347942795422631,0.841510444338074,0.513858408072249,0.05562709008444,0.165915612649618,NA,NA,NA,-0.0024561922980711,-0.0658090198553924,-0.0206475471835241,NA
"global_wise","y6","ctotal",20.5,28.0833333333333,NA,20,28,NA,0.774922500906531,0.684251649399563,0.819488663272975,0.760916832070539,0.0445661623664431,0.0766651826709764,NA,NA,NA,0.00267720185823952,-0.0180316018497883,-0.0224176515033887,NA
"global_wise","y6","evapm",23.5,NA,NA,23,NA,NA,0.803959046143643,0.747365060325986,-0.0565939858176566,NA,NA,NA,NA,NA,NA,-0.00219291728522787,-0.00859782614019512,NA,NA
"global_wise","y4","npp",12.8333333333333,27,NA,12,27,NA,0.814174001739045,0.29076855274505,0.637542038875988,0.357489568616962,-0.176631962863058,0.0667210158719121,NA,NA,NA,-0.0003366251883441,-0.0246229694294158,0.00775843332306366,NA
"global_wise","y4","ctotal",13.9166666666667,27.25,NA,13,27,NA,0.758501188994878,0.543059915067755,0.802335424324565,0.614234722343668,0.0438342353296871,0.071174807275913,NA,NA,NA,0.00244656306772168,-0.0195679629627781,-0.000566048859696917,NA
"global_wise","y4","evapm",13.0833333333333,30.3333333333333,NA,13,30,NA,0.829070131397816,0.63208501154931,0.778573448097998,0.413027084793815,-0.0504966832998176,-0.219057926755495,NA,NA,NA,-0.00151388451919221,-0.00853330698341876,-0.01378572525789,NA
"global_wise","y2","npp",8.16666666666667,13.75,20.25,8,13,20,0.805626129293485,0.233975372752544,0.21016956284504,0.684672369572735,0.321582579842213,0.544387293750915,-0.12095375972075,0.0876072070896686,0.334217730905875,-0.000147528399202614,-0.0819449085127624,-0.017363067583975,-0.0614624985073128
"global_wise","y2","ctotal",11.5,20.5,NA,11,20,NA,0.747494371157568,0.378185255398025,0.577015760881154,0.708259512621079,-0.170478610276414,0.330074257223053,NA,NA,NA,0.000962226406612594,-0.0222987482784817,-0.0649485202553719,NA
"global_wise","y2","evapm",7.5,13.6666666666667,19.25,7,13,19,0.808684243295649,0.627670433570602,0.450399785102491,0.837832226026361,0.686907965139801,0.268386562405534,0.0291479827307122,0.059237531569199,-0.182013222696957,-0.00779339567026364,-0.0345471439653301,-0.0430014872795113,-0.0209869582312246
